title,genres,director,overview,text_stopword,text_clean
X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction']",Brett Ratner,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['cure', 'find', 'treat', 'mutation', 'line', 'draw', 'amongst', 'xmen', 'brotherhood', 'band', 'powerful', 'mutant', 'organize', 'xavier', 'former', 'ally', 'magneto']",cure find treat mutation line draw amongst xmen brotherhood band powerful mutant organize xavier former ally magneto
Monsters University,"['Animation', 'Family']",Dan Scanlon,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['look', 'relationship', 'mike', 'sulley', 'day', 'monster', 'university', 'werent', 'necessarily', 'best', 'friend']",look relationship mike sulley day monster university werent necessarily best friend
Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['sam', 'witwicky', 'leave', 'autobots', 'behind', 'normal', 'life', 'mind', 'fill', 'cryptic', 'symbol', 'decepticons', 'target', 'drag', 'back', 'transformer', 'war']",sam witwicky leave autobots behind normal life mind fill cryptic symbol decepticons target drag back transformer war
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['humanity', 'pick', 'piece', 'follow', 'conclusion', 'transformer', 'dark', 'moon', 'autobots', 'decepticons', 'vanish', 'face', 'planet', 'however', 'group', 'powerful', 'ingenious', 'businessman', 'scientist', 'attempt', 'learn', 'past', 'transformer', 'incursion', 'push', 'boundary', 'technology', 'beyond', 'control', 'ancient', 'powerful', 'transformer', 'menace', 'set', 'earth', 'crosshairs']",humanity pick piece follow conclusion transformer dark moon autobots decepticons vanish face planet however group powerful ingenious businessman scientist attempt learn past transformer incursion push boundary technology beyond control ancient powerful transformer menace set earth crosshairs
Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","['oscar', 'diggs', 'smalltime', 'circus', 'illusionist', 'conartist', 'whisk', 'kansa', 'land', 'oz', 'inhabitant', 'assume', 'hes', 'great', 'wizard', 'prophecy', 'save', 'oz', 'clutch', 'evil']",oscar diggs smalltime circus illusionist conartist whisk kansa land inhabitant assume hes great wizard prophecy save clutch evil
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Marc Webb,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['peter', 'parker', 'life', 'busy', 'take', 'bad', 'guy', 'spiderman', 'spending', 'time', 'person', 'love', 'gwen', 'stacy', 'high', 'school', 'graduation', 'come', 'quickly', 'enough', 'peter', 'forget', 'promise', 'make', 'gwen', 'father', 'protect', 'stay', 'away', 'promise', 'keep', 'thing', 'change', 'peter', 'new', 'villain', 'electro', 'emerge', 'old', 'friend', 'harry', 'osborn', 'return', 'peter', 'uncovers', 'new', 'clue', 'past']",peter parker life busy take bad guy spiderman spending time person love gwen stacy high school graduation come quickly enough peter forget promise make gwen father protect stay away promise keep thing change peter new villain electro emerge old friend harry osborn return peter uncovers new clue past
TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","['sam', 'flynn', 'techsavvy', 'dare', 'son', 'kevin', 'flynn', 'investigate', 'father', 'disappearance', 'pull', 'grid', 'help', 'mysterious', 'program', 'name', 'quorra', 'sam', 'quest', 'stop', 'evil', 'dictator', 'clu', 'cross', 'real', 'world']",sam flynn techsavvy dare son kevin flynn investigate father disappearance pull grid help mysterious program name quorra sam quest stop evil dictator clu cross real world
Cars 2,"['Animation', 'Family', 'Adventure']",John Lasseter,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['star', 'race', 'car', 'lightning', 'mcqueen', 'pal', 'mat', 'head', 'overseas', 'compete', 'world', 'grand', 'prix', 'race', 'road', 'championship', 'become', 'rocky', 'mat', 'get', 'catch', 'intriguing', 'adventure', 'international', 'espionage']",star race car lightning mcqueen pal mat head overseas compete world grand prix race road championship become rocky mat get catch intriguing adventure international espionage
Green Lantern,"['Adventure', 'Action', 'Thriller']",Martin Campbell,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","['century', 'small', 'powerful', 'force', 'warrior', 'call', 'green', 'lantern', 'corp', 'swear', 'keep', 'intergalactic', 'order', 'green', 'lantern', 'wear', 'ring', 'grant', 'superpower', 'new', 'enemy', 'call', 'parallax', 'threaten', 'destroy', 'balance', 'power', 'universe', 'fate', 'fate', 'earth', 'lie', 'hand', 'first', 'human', 'ever', 'recruit']",century small powerful force warrior call green lantern corp swear keep intergalactic order green lantern wear ring grant superpower new enemy call parallax threaten destroy balance power universe fate fate earth lie hand first human ever recruit
Toy Story 3,"['Animation', 'Family', 'Comedy']",Lee Unkrich,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['woody', 'buzz', 'rest', 'andys', 'toys', 'havent', 'play', 'year', 'andy', 'go', 'college', 'gang', 'find', 'accidentally', 'leave', 'nefarious', 'day', 'care', 'center', 'toy', 'must', 'band', 'together', 'escape', 'return', 'home', 'andy']",woody buzz rest andys toys havent play year andy college gang find accidentally leave nefarious day care center toy must band together escape return home andy
Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']",McG,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","['grow', 'postapocalyptic', '2018', 'john', 'connor', 'must', 'lead', 'resistance', 'human', 'increasingly', 'dominating', 'militaristic', 'robot', 'marcus', 'wright', 'appear', 'existence', 'confuse', 'mission', 'connor', 'try', 'determine', 'whether', 'wright', 'come', 'future', 'past', 'whether', 'friend', 'foe']",grow postapocalyptic 2018 john connor must lead resistance human increasingly dominating militaristic robot marcus wright appear existence confuse mission connor try determine whether wright come future past whether friend foe
Furious 7,['Action'],James Wan,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"['deckard', 'shaw', 'seek', 'revenge', 'dominic', 'toretto', 'family', 'comatose', 'brother']",deckard shaw seek revenge dominic toretto family comatose brother
World War Z,"['Action', 'Drama', 'Horror']",Marc Forster,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","['life', 'former', 'united', 'nation', 'investigator', 'gerry', 'lane', 'family', 'seem', 'content', 'suddenly', 'world', 'plague', 'mysterious', 'infection', 'turn', 'whole', 'human', 'population', 'rampage', 'mindless', 'zombie', 'barely', 'escape', 'chaos', 'lane', 'persuade', 'go', 'mission', 'investigate', 'disease', 'follow', 'perilous', 'trek', 'around', 'world', 'lane', 'must', 'brave', 'horrific', 'danger', 'long', 'odds', 'find', 'answer', 'human', 'civilization', 'fall']",life former united nation investigator gerry lane family seem content suddenly world plague mysterious infection turn whole human population rampage mindless zombie barely escape chaos lane persuade mission investigate disease follow perilous trek around world lane must brave horrific danger long odds find answer human civilization fall
X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy']",Bryan Singer,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,"['ultimate', 'xmen', 'ensemble', 'fight', 'war', 'survival', 'specie', 'across', 'two', 'time', 'period', 'join', 'force', 'young', 'self', 'epic', 'battle', 'must', 'change', 'past', 'save', 'future']",ultimate xmen ensemble fight war survival specie across two time period join force young self epic battle must change past save future
Star Trek Into Darkness,"['Action', 'Adventure', 'Science Fiction']",J.J. Abrams,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","['crew', 'enterprise', 'call', 'back', 'home', 'find', 'unstoppable', 'force', 'terror', 'within', 'organization', 'detonate', 'fleet', 'everything', 'stand', 'leave', 'world', 'state', 'crisis', 'personal', 'score', 'settle', 'captain', 'kirk', 'lead', 'manhunt', 'warzone', 'world', 'capture', 'one', 'man', 'weapon', 'mass', 'destruction', 'hero', 'propel', 'epic', 'chess', 'game', 'life', 'death', 'love', 'challenge', 'friendship', 'torn', 'apart', 'sacrifice', 'must', 'make', 'family', 'kirk', 'leave', 'crew']",crew enterprise call back home find unstoppable force terror within organization detonate fleet everything stand leave world state crisis personal score settle captain kirk lead manhunt warzone world capture one man weapon mass destruction hero propel epic chess game life death love challenge friendship torn apart sacrifice must make family kirk leave crew
